"filename", "language", "Dart", "JSON", "YAML", "JavaScript", "Markdown", "HTML", "XML", "C++", "Swift", "Groovy", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Flutter Projects\truyou\functions\package-lock.json", "JSON", 0, 4573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4574
"c:\Flutter Projects\truyou\functions\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Flutter Projects\truyou\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Flutter Projects\truyou\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Flutter Projects\truyou\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Flutter Projects\truyou\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Flutter Projects\truyou\ios\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Flutter Projects\truyou\lib\bloc\auth_bloc\auth_bloc.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 113
"c:\Flutter Projects\truyou\lib\bloc\auth_bloc\auth_bloc.freezed.dart", "Dart", 1452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 197, 1697
"c:\Flutter Projects\truyou\lib\bloc\auth_bloc\auth_event.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 13
"c:\Flutter Projects\truyou\lib\bloc\auth_bloc\auth_state.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_bloc.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_bloc.freezed.dart", "Dart", 729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 114, 876
"c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_event.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_state.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\gender_age_bloc\gender_age_bloc.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Flutter Projects\truyou\lib\bloc\gender_age_bloc\gender_age_bloc.freezed.dart", "Dart", 819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 127, 982
"c:\Flutter Projects\truyou\lib\bloc\gender_age_bloc\gender_age_event.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\bloc\gender_age_bloc\gender_age_state.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
