"filename", "language", "Dart", "YAML", "JSON", "Markdown", "HTML", "C++", "Swift", "Groovy", "XML", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Flutter Projects\truyou\lib\components\utils\formatters\short_text_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\formatters\space_remover_formatter.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 24
"c:\Flutter Projects\truyou\lib\components\utils\formatters\stake_trust_formatter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Flutter Projects\truyou\lib\components\utils\formatters\wallet_formatter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\truyou\lib\components\utils\responsive-widget\responsive_widget.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Flutter Projects\truyou\lib\components\utils\utils.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Flutter Projects\truyou\lib\components\utils\validators\email_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Flutter Projects\truyou\lib\components\utils\validators\long_text_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\match_pledging_validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Flutter Projects\truyou\lib\components\utils\validators\name_validator.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Flutter Projects\truyou\lib\components\utils\validators\otp_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\password_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\phone_number_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\short_text_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\stake_trust_validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Flutter Projects\truyou\lib\components\utils\validators\validator.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Flutter Projects\truyou\lib\components\utils\validators\wallet_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\widgets\custom_drawer.dart", "Dart", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 111
"c:\Flutter Projects\truyou\lib\components\widgets\custom_drop_down.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 108
"c:\Flutter Projects\truyou\lib\components\widgets\custom_textfield.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 112
